step,checkpoint_save_step,epoch,grad_norm,learning_rate,train_loss,total_flos,avg_train_loss,train_runtime,train_samples_per_second,train_steps_per_second,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
77,,0.616,1.7508327960968018,3.335902277385067E-05,0.6648,,,,,,,,,
78,,0.624,1.759779453277588,3.217940606433747E-05,0.7842,,,,,,,,,
79,,0.632,1.7544773817062378,3.101104522390995E-05,0.7337,,,,,,,,,
80,,0.64,1.9735172986984253,2.9854678214316873E-05,0.7724,,,,,,,,,
81,,0.648,1.6047148704528809,2.8711035421746367E-05,0.6969,,,,,,,,,
82,,0.656,2.344003200531006,2.7580839195498398E-05,0.7305,,,,,,,,,
83,,0.664,1.9586032629013062,2.6464803391733374E-05,0.8106,,,,,,,,,
84,,0.672,1.5461251735687256,2.536363292258543E-05,0.7126,,,,,,,,,
85,,0.68,1.8917404413223267,2.4278023310924673E-05,0.7315,,,,,,,,,
86,,0.688,1.6424216032028198,2.3208660251050158E-05,0.7753,,,,,,,,,
87,,0.696,1.695005178451538,2.215621917559062E-05,0.7353,,,,,,,,,
88,,0.704,1.6730682849884033,2.112136482888663E-05,0.7649,,,,,,,,,
89,,0.712,1.6173149347305298,2.0104750847124075E-05,0.698,,,,,,,,,
90,,0.72,1.4059169292449951,1.910701934548329E-05,0.6703,,,,,,,,,
91,,0.728,1.63291335105896,1.8128800512565513E-05,0.7538,,,,,,,,,
92,,0.736,1.939378261566162,1.7170712212352187E-05,0.7479,,,,,,,,,
93,,0.744,2.542073965072632,1.6233359593948777E-05,0.8144,,,,,,,,,
94,,0.752,1.576463222503662,1.531733470935976E-05,0.7109,,,,,,,,,
95,,0.76,1.8074438571929932,1.4423216139535734E-05,0.7349,,,,,,,,,
96,,0.768,1.8390837907791138,1.3551568628929434E-05,0.655,,,,,,,,,
97,,0.776,1.6365716457366943,1.2702942728790895E-05,0.7237,,,,,,,,,
98,,0.784,2.378967761993408,1.18778744494276E-05,0.8676,,,,,,,,,
99,,0.792,1.7284929752349854,1.1076884921648834E-05,0.7384,,,,,,,,,
100,,0.8,2.738335371017456,1.0300480067608231E-05,0.7069,,,,,,,,,
101,,0.808,1.5791218280792236,9.549150281252633E-06,0.7594,,,,,,,,,
102,,0.816,1.3813213109970093,8.823370118578628E-06,0.7558,,,,,,,,,
103,,0.824,1.112263560295105,8.123597997892918E-06,0.6783,,,,,,,,,
104,,0.832,1.3356389999389648,7.450275910265414E-06,0.6789,,,,,,,,,
105,,0.84,1.3814964294433594,6.803829140358237E-06,0.719,,,,,,,,,
106,,0.848,1.2390438318252563,6.184665997806832E-06,0.6785,,,,,,,,,
107,,0.856,1.512336254119873,5.593177559322777E-06,0.662,,,,,,,,,
108,,0.864,1.4580157995224,5.029737421681446E-06,0.6722,,,,,,,,,
109,,0.872,1.749580979347229,4.494701465750217E-06,0.7264,,,,,,,,,
110,,0.88,1.8801558017730713,3.9884076317064814E-06,0.7668,,,,,,,,,
111,,0.888,2.807997465133667,3.511175705587433E-06,0.8217,,,,,,,,,
112,,0.896,1.9715520143508911,3.0633071173062967E-06,0.694,,,,,,,,,
113,,0.904,2.3283255100250244,2.6450847502627884E-06,0.7493,,,,,,,,,
114,,0.912,1.9614770412445068,2.2567727626678527E-06,0.8091,,,,,,,,,
115,,0.92,1.7281118631362915,1.8986164206957035E-06,0.7114,,,,,,,,,
116,,0.928,2.099090814590454,1.5708419435684462E-06,0.7431,,,,,,,,,
117,,0.936,1.6580009460449219,1.2736563606711382E-06,0.7244,,,,,,,,,
118,,0.944,1.4887250661849976,1.007247380787657E-06,0.7147,,,,,,,,,
119,,0.952,1.7207245826721191,7.717832735397335E-07,0.7422,,,,,,,,,
120,,0.96,1.6358224153518677,5.674127631043025E-07,0.7299,,,,,,,,,
121,,0.968,1.4594277143478394,3.9426493427611177E-07,0.8041,,,,,,,,,
122,,0.976,1.42575204372406,2.5244915093499134E-07,0.705,,,,,,,,,
123,,0.984,1.5144128799438477,1.420549869693033E-07,0.6922,,,,,,,,,
124,,0.992,1.3903506994247437,6.315216969912663E-08,0.7082,,,,,,,,,
125,125,1,1.427964448928833,1.5790535835003008E-08,0.6985,228719357067264,0.8158688516616821,598.0775,13.376,0.209,0.716489851474762,12.2231,40.906,0.654
